date,mean,median,sum,std,max,min
2000-08-24,5107.71897810219,884.5,2799030.0,29160.76256959006,0,0
2000-08-25,8302.912671232876,988.0,4848901.0,50369.85712958059,0,0
2000-08-26,,,0.0,,0,0
2000-08-27,,,0.0,,0,0
2000-08-28,18483.585537918872,1188.0,10480193.0,172679.23527331764,0,0
2000-08-29,4868.684434968017,1022.0,2283413.0,27471.02835507789,0,0
2000-08-30,56484.733928571426,1200.0,31631451.0,926626.523162379,0,0
2000-08-31,15881.698443579766,1037.0,8163193.0,174442.45669241124,0,0
2000-09-01,9927.766109785203,982.0,4159734.0,56746.425984312256,0,0
2000-09-02,,,0.0,,0,0
2000-09-03,,,0.0,,0,0
2000-09-04,4730.182978723405,937.5,2223186.0,29164.281395929967,0,0
2000-09-05,4134.52977412731,1000.0,2013516.0,21534.031436215806,0,0
2000-09-06,7635.160220994475,1010.0,4145892.0,55287.6657356035,0,0
2000-09-07,,,0.0,,0,0
2000-09-08,5154.167682926829,1005.0,1690567.0,16708.267091124257,0,0
2000-09-09,,,0.0,,0,0
2000-09-10,,,0.0,,0,0
2000-09-11,14057.903885480573,1000.0,6874315.0,155166.94325522662,0,0
2000-09-12,13923.08245243129,850.0,6585618.0,153797.73094443575,0,0
2000-09-13,4346.94262295082,1007.0,2121308.0,26921.88734471686,0,0
2000-09-14,16637.87453874539,961.0,9017728.0,196383.3553284726,0,0
2000-09-15,13144.461538461539,1200.0,7860388.0,99452.69760593736,0,0
2000-09-16,,,0.0,,0,0
2000-09-17,,,0.0,,0,0
2000-09-18,1952.5070422535211,803.0,970396.0,2993.1676740202006,0,0
2000-09-19,6139.114503816794,991.0,3216896.0,44014.227804814036,0,0
2000-09-20,4789.175803402646,1159.0,2533474.0,29292.618063764538,0,0
2000-09-21,4096.909853249476,1020.0,1954226.0,16587.0211651891,0,0
2000-09-22,5681.864224137931,1002.0,2636385.0,31988.47954525724,0,0
2000-09-23,,,0.0,,0,0
2000-09-24,,,0.0,,0,0
2000-09-25,15935.819277108434,956.0,6613365.0,112977.0769117415,0,0
2000-09-26,8120.953781512605,988.0,3865574.0,74930.25987483047,0,0
2000-09-27,20367.061538461538,1260.0,9267013.0,157937.24372682645,0,0
2000-09-28,5478.472727272727,1022.0,2711844.0,35828.20546760686,0,0
2000-09-29,48405.367117117115,1022.5,21491983.0,721796.8618535534,0,0
2000-09-30,,,0.0,,0,0
2000-10-01,2100.0,2100.0,2100.0,0.0,0,0
2000-10-02,6031.914847161572,1197.5,2762617.0,31595.58641057514,0,0
2000-10-03,10153.219712525668,1036.0,4944618.0,86972.5761552873,0,0
2000-10-04,5898.148387096774,1047.0,2742639.0,33418.58961550905,0,0
2000-10-05,3521.1982378854627,866.0,1598624.0,14458.286957937258,0,0
2000-10-06,9106.055084745763,1064.5,4298058.0,111304.88640565886,0,0
